Sr. No.,Terminology / Document,Defination,Who creates / sends it (If any),Who recevies it (If Any),Purpose,"If not available, whats the issue?"
349.0,Dependency Log,A list of tasks that rely on other tasks or external factors.,Project Manager,Project Team,"To ensure ""Task B"" doesn't start before ""Task A"" is finished.",Team members sit idle waiting for others to finish work.
350.0,Escalation Matrix,A plan defining when and how to move a problem to higher management.,Project Manager,Stakeholders,To ensure big problems get the attention they need quickly.,"Junior staff try to fix massive problems alone, wasting time."
351.0,Benefits Realization Plan,A plan to ensure the project benefits are actually achieved after closing.,Project Sponsor,Business Owner,To track if the project actually improved the business as intended.,"The project is ""finished,"" but the business never sees the profit."
352.0,Acceptance Criteria,A set of conditions that must be met before a deliverable is accepted.,Product Owner,Project Team,"To remove ambiguity regarding ""quality"" or ""completion.""",Rejection of work by the client at the very last minute.
353.0,Value Stream Map,A lean tool used to document every step in a process from start to finish.,Project Team,Stakeholders,To identify and eliminate non- value-added activities (waste).,The project team remains inefficient without knowing where the lag is.
354.0,Project Funding Requirements,"A forecast of project costs to be paid that includes the ""when"" and ""how much.""",Project Manager,Sponsor / Finance,To ensure the organization has the cash flow ready for project bills.,Project stops abruptly because there is no cash to pay vendors.
355.0,Tornado Diagram,A sensitivity analysis tool showing which risks have the most impact.,Risk Manager,Project Manager,To visually prioritize the risks that could swing the budget the most.,"Focus is spread thin across all risks instead of the ""big hitters."""
356.0,MoSCoW Prioritization,"A technique to categorize requirements: Must have, Should have, Could have, Won't have.",Product Owner,Project Team,To manage scope when time or budget is limited.,"Everything is treated as ""urgent,"" leading to total project burnout."
357.0,Burndown Velocity,The rate at which the remaining work is decreasing.,Scrum Master,Team,To predict the exact day the current workload will hit zero.,"Management sets unrealistic launch dates based on hope, not data."
358.0,Lead and Lag,"Adjustments to the start/end of dependent tasks (Lead accelerates, Lag delays).",Project Manager,Project Team,To fine-tune the schedule for realistic transitions between tasks.,The schedule is too rigid or physically impossible to execute.
359.0,Firm Fixed Price (FFP),A contract type where the price is set and does not change.,Procurement,Vendor,To shift the financial risk onto the seller/vendor.,Cost overruns by the vendor become the buyer's financial problem.
360.0,Cost Plus (CPFF),A contract where the buyer pays for costs plus a fixed fee.,Procurement,Vendor,"To encourage vendors to take on high-risk, experimental work.",No incentive for the vendor to control costs; budget may spiral.
361.0,Control Account,"A management control point where scope, cost, and schedule are integrated.",Project Manager,Finance Dept,To track performance at a level above individual work packages.,Hard to pinpoint which specific department is overspending.
362.0,Project Dashboard,A real-time visual display of Key Performance Indicators (KPIs).,Project Manager,All Stakeholders,"To provide an ""at-a-glance"" health check of the project.",Stakeholders have to dig through 50-page reports to find basic info.
363.0,Precedence Diagramming Method (PDM),A technique used for constructing a schedule model (Boxes and Arrows).,Project Manager,Project Team,To visualize how all tasks are logically connected.,"Logic errors in the schedule (e.g., building the roof before the walls)."
364.0,Basis of Estimates (BOE),Supporting documentation explaining how cost/time figures were calculated.,Project Team,Project Manager,"To provide transparency and ""defend"" the budget to the board.","The budget looks like ""made-up numbers"" and gets cut by management."
365.0,Procurement Audit,A structured review of the procurement process from start to finish.,Auditor / PMO,Project Team,To identify successes and failures in vendor management.,Legal loopholes or bad vendor behaviors are repeated in next project.
366.0,Project Management Information System (PMIS),The software or tools used to gather and distribute information.,Organization / IT,Project Team,"To centralize all project data (e.g., Jira, MS Project, Asana).",Information is lost in email threads and personal spreadsheets.
367.0,Work Authorization System,A formal procedure for sanctioning project work.,Project Manager,Functional Team,To ensure work is done at the right time and in the right sequence.,"Team members start tasks too early, wasting resources."
368.0,Project Governance Framework,"The rules, roles, and processes that guide project activities.",PMO / Executive,Project Manager,To ensure the project aligns with the company's strategic goals.,The project is successful technically but fails the company's mission.
369.0,Transition Plan,"A document detailing how the ""end product"" moves to the ""end user.""",Project Manager,Operations Team,"To ensure the project isn't ""dropped"" on users without training.",The product is built but nobody knows how to maintain or use it.
370.0,Teaming Agreement,A legal agreement between two entities to work together on a project.,Legal / Sponsor,Project Partners,To define the partnership before a full contract is signed.,Partners fight over intellectual property or profit sharing later.
371.0,Requirement Traceability Matrix (RTM),A grid that links requirements from their origin to the deliverables.,Project Manager,Quality Team,To ensure that every single requirement is actually tested and met.,"Features are missed during development, failing the client's needs."
372.0,Gold Plating,The practice of adding extra features not requested by the client.,Development Team,Project Manager,"(Often an error) Trying to ""wow"" the client with unrequested work.",Wasted budget and time on things the client didn't ask for.
373.0,Project Portfolio Map,A high-level visual of all active projects within an organization.,PMO / Director,Executive Board,To ensure the mix of projects balances risk and strategic reward.,The company takes on too many high-risk projects at once.
374.0,Variance at Completion (VAC),A projection of the budget deficit or surplus at the end of the project.,Project Manager,Project Sponsor,To warn stakeholders exactly how much the project will be over/under budget.,Financial surprises at the very end of the project when it's too late.
375.0,Operational Readiness Review (ORR),An audit to ensure the organization is ready to support the new product.,Operations Manager,Project Manager,"To confirm that support staff, manuals, and tools are in place for launch.","The project ""goes live"" but the support team is unable to help users."
376.0,Post-Implementation Review (PIR),An evaluation conducted months after the project is closed.,Business Analyst,Stakeholders,To measure if the project actually delivered the expected long-term value.,No one knows if the project actually solved the original business problem.
377.0,Certificate of Practical Completion,A legal document stating the work is substantially complete and safe for use.,Project Manager / Architect,Client,To hand over the responsibility/ liability of the site or product to the owner.,Ongoing legal liability for the project team even after they have left.
